dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
14;659;-0,0;9226;1,0582909888465445e-05;1,164263758
14;2992;-0,0;41888;4,804865915977027e-05;5,265511318
14;1035;-0,0;14490;1,6621110371110372e-05;1,827835643
14;192;-0,0;2688;3,08333641666975e-06;0,336639795
14;2730;-0,0;38220;4,3841189674523005e-05;4,836160033
14;671;-0,0;9394;1,0775618414507304e-05;1,179417926
14;1074;-0,0;15036;1,7247413080746413e-05;1,905829848
14;1777;-0,0;24878;2,853692089803201e-05;3,186064572
14;2471;-0,0;34594;3,968189732078621e-05;4,339627543
14;740;-0,0;10360;1,1883692439247996e-05;1,319418492
14;2005;-0,0;28070;3,219838289282734e-05;3,607028862
14;713;-0,0;9982;1,1450098255653812e-05;1,322287657
14;219;-0,0;3066;3,5169306002639335e-06;0,398657579
14;1229;-0,0;17206;1,9736564875453764e-05;2,198855917
14;3374;-0,0;47236;5,418321390543613e-05;6,060641142
14;5727;-0,0;80178;9,197014405347739e-05;10,081309169
14;2410;-0,0;33740;3,870229564674009e-05;4,219229043
14;6320;-0,0;88480;0,0001014931570487126;11,234279171
14;663;-0,0;9282;1,064714606381273e-05;1,182823132
14;3539;-0,0;49546;5,6832956138511695e-05;6,177765153
