dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
15;7041;-0,0;105615;8,076551975361499e-06;14,798429655
15;1437;-0,0;21555;1,6483461423937615e-06;3,047532351
15;4042;-0,0;60630;4,6364753706023546e-06;8,566822897
15;1630;-0,0;24450;1,8697315324299451e-06;3,458759118
15;10000;-1,0;150000;1,1470745597729724e-05;20,982270339
15;2563;-0,0;38445;2,9399520966981285e-06;5,42503895
15;4607;-0,0;69105;5,284572496874084e-06;9,770309519
15;3005;-0,0;45075;3,4469590521177824e-06;6,390742807
15;2291;-0,0;34365;2,62794781643988e-06;4,836563426
15;1590;-0,0;23850;1,8238485500390261e-06;3,385038905
15;851;-0,0;12765;9,761604503667995e-07;1,801852155
15;134;-0,0;2010;1,537079910095783e-07;0,292488492
15;1097;-0,0;16455;1,2583407920709507e-06;2,376118979
15;4718;-0,0;70770;5,411897773008884e-06;10,05265064
15;6029;-0,0;90435;6,915712520871251e-06;12,721386714
15;2442;-0,0;36630;2,8011560749655986e-06;5,276008034
15;1502;-0,0;22530;1,7229059887790047e-06;3,275472798
15;1738;-0,0;26070;1,993615584885426e-06;3,702991946
15;1663;-0,0;24945;1,9075849929024534e-06;3,57031515
15;2979;-0,0;44685;3,417135113563685e-06;6,313133466
