dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
12;374;-0,0;4488;0,0009369488536155202;0,444946682
12;791;-0,0;9492;0,00198162177328844;0,926380683
12;1260;-0,0;15120;0,0031565656565656565;1,475359683
12;1351;-0,0;16212;0,0033845398428731764;1,585188843
12;1179;-0,0;14148;0,0029536435786435785;1,380135188
12;5562;-0,0;66744;0,013933982683982684;6,473144122
12;880;-0,0;10560;0,002204585537918871;1,031913038
12;388;-0,0;4656;0,0009720218053551387;0,454782905
12;2065;-0,0;24780;0,005173260381593715;2,411993327
12;2077;-0,0;24924;0,005203322911656245;2,43767948
12;803;-0,0;9636;0,00201168430335097;0,938103044
12;50;-0,0;600;0,0001252605419272086;0,061360208
12;179;-0,0;2148;0,00044843274009940675;0,214486186
12;737;-0,0;8844;0,0018463403880070546;0,863520104
12;4450;-0,0;53400;0,011148188231521566;5,194193806
12;1943;-0,0;23316;0,004867624659291326;2,284998893
12;279;-0,0;3348;0,000698953823953824;0,330491052
12;1678;-0,0;20136;0,004203743787077121;1,964879576
12;1587;-0,0;19044;0,0039757696007696;1,862598011
12;925;-0,0;11100;0,002317320025653359;1,08466731
13;3734;-0,0;48542;0,0007795381059269948;5,346507757
13;245;-0,0;3185;5,114805462027684e-05;0,357422865
13;1079;-0,0;14027;0,00022526020789909678;1,565372049
13;2765;-0,0;35945;0,0005772423307145529;4,052877993
13;1372;-0,0;17836;0,0002864291058735503;2,029747337
13;947;-0,0;12311;0,0001977028886751109;1,386708946
13;975;-0,0;12675;0,00020354838063171396;1,42659996
13;4898;-0,0;63674;0,0010225435572657794;7,044865217
13;380;-0,0;4940;7,933167655389878e-05;0,552235885
13;1673;-0,0;21749;0,0003492681444070333;2,433571062
13;167;-0,0;2171;3,4864184169739724e-05;0,245168156
13;1538;-0,0;19994;0,00032108452247341134;2,231069027
13;328;-0,0;4264;6,847576292020737e-05;0,472641503
13;77;-0,0;1001;1,6075102880658438e-05;0,114572174
13;380;-0,0;4940;7,933167655389878e-05;0,569486143
13;205;-0,0;2665;4,27973518251296e-05;0,303464908
13;179;-0,0;2327;3,7369395008283896e-05;0,270626813
13;2730;-0,0;35490;0,0005699354657687991;3,950207315
13;436;-0,0;5668;9,102266046710491e-05;0,644179219
13;1327;-0,0;17251;0,00027703456522900965;1,925384743
14;659;-0,0;9226;1,0582909888465445e-05;1,164263758
14;2992;-0,0;41888;4,804865915977027e-05;5,265511318
14;1035;-0,0;14490;1,6621110371110372e-05;1,827835643
14;192;-0,0;2688;3,08333641666975e-06;0,336639795
14;2730;-0,0;38220;4,3841189674523005e-05;4,836160033
14;671;-0,0;9394;1,0775618414507304e-05;1,179417926
14;1074;-0,0;15036;1,7247413080746413e-05;1,905829848
14;1777;-0,0;24878;2,853692089803201e-05;3,186064572
14;2471;-0,0;34594;3,968189732078621e-05;4,339627543
14;740;-0,0;10360;1,1883692439247996e-05;1,319418492
14;2005;-0,0;28070;3,219838289282734e-05;3,607028862
14;713;-0,0;9982;1,1450098255653812e-05;1,322287657
14;219;-0,0;3066;3,5169306002639335e-06;0,398657579
14;1229;-0,0;17206;1,9736564875453764e-05;2,198855917
14;3374;-0,0;47236;5,418321390543613e-05;6,060641142
14;5727;-0,0;80178;9,197014405347739e-05;10,081309169
14;2410;-0,0;33740;3,870229564674009e-05;4,219229043
14;6320;-0,0;88480;0,0001014931570487126;11,234279171
14;663;-0,0;9282;1,064714606381273e-05;1,182823132
14;3539;-0,0;49546;5,6832956138511695e-05;6,177765153
15;7041;-0,0;105615;8,076551975361499e-06;14,798429655
15;1437;-0,0;21555;1,6483461423937615e-06;3,047532351
15;4042;-0,0;60630;4,6364753706023546e-06;8,566822897
15;1630;-0,0;24450;1,8697315324299451e-06;3,458759118
15;10000;-1,0;150000;1,1470745597729724e-05;20,982270339
15;2563;-0,0;38445;2,9399520966981285e-06;5,42503895
15;4607;-0,0;69105;5,284572496874084e-06;9,770309519
15;3005;-0,0;45075;3,4469590521177824e-06;6,390742807
15;2291;-0,0;34365;2,62794781643988e-06;4,836563426
15;1590;-0,0;23850;1,8238485500390261e-06;3,385038905
15;851;-0,0;12765;9,761604503667995e-07;1,801852155
15;134;-0,0;2010;1,537079910095783e-07;0,292488492
15;1097;-0,0;16455;1,2583407920709507e-06;2,376118979
15;4718;-0,0;70770;5,411897773008884e-06;10,05265064
15;6029;-0,0;90435;6,915712520871251e-06;12,721386714
15;2442;-0,0;36630;2,8011560749655986e-06;5,276008034
15;1502;-0,0;22530;1,7229059887790047e-06;3,275472798
