dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
14;659;-0,0;9214;1,0569144993748168e-05;1,540083181
14;596;-0,0;8332;9,557425232028407e-06;1,392380857
14;1780;-0,0;24908;2,8571333134825198e-05;4,151309537
14;381;-0,0;5323;6,105877881671533e-06;0,903737757
14;2213;-0,0;30971;3,552604619072873e-05;5,103932129
14;136;-0,0;1893;2,171412141650237e-06;0,322387893
14;171;-0,0;2382;2,7323316013792203e-06;0,42094983
14;708;-0,0;9901;1,13571852163122e-05;1,653771818
14;1349;-0,0;18874;2,164988524115508e-05;3,135225092
14;838;-0,0;11721;1,344486091509901e-05;2,018815045
14;550;-0,0;7689;8,819856290094385e-06;1,349789218
14;975;-0,0;13638;1,56438028461838e-05;2,303140355
14;172;-0,0;2397;2,749537719775815e-06;0,436760663
14;273;-0,0;3810;4,3703540727350255e-06;0,669066867
14;892;-0,0;12476;1,4310902207727604e-05;2,146948784
14;357;-0,0;4987;5,7204608295878136e-06;0,838105547
14;233;-0,0;3251;3,7291393938219333e-06;0,549177672
14;46;-0,0;632;7,249511217765186e-07;0,108713244
14;1751;-0,0;24502;2,8105620863557373e-05;4,044797958
14;126;-0,0;1752;2,009674628722248e-06;0,311255286
