dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
16;555;-0,0;8867;4,237962550627895e-08;1,785094377
16;139;-0,0;2210;1,0562644904576121e-08;0,451976656
16;147;-0,0;2338;1,1174418003121707e-08;0,47526894
16;125;-0,0;1986;9,492041982121346e-09;0,406009837
16;387;-0,0;6178;2,9527610959489266e-08;1,24575756
16;631;-0,0;10082;4,818669046512962e-08;2,0240503
16;502;-0,0;8019;3,8326628728414444e-08;1,616399305
16;901;-0,0;14402;6,883403254104312e-08;2,874022806
16;693;-0,0;11074;5,2927931978857906e-08;2,213068001
16;2130;-0,0;34067;1,6282245428244105e-07;6,775366202
16;1419;-0,0;22691;1,0845112014920216e-07;4,508020922
16;1183;-0,0;18914;9,0399034264775e-08;3,762383062
16;2838;-0,0;45395;2,1696437350372534e-07;8,988451183
16;365;-0,0;5827;2,7850014415821294e-08;1,184761445
16;354;-0,0;5651;2,7008826405321115e-08;1,144623027
16;1489;-0,0;23810;1,1379935528414365e-07;4,721363171
16;190;-0,0;3027;1,4467477885136615e-08;0,619150991
16;256;-0,0;4083;1,9514605948137695e-08;0,832541049
16;913;-0,0;14595;6,975647166619388e-08;2,911129543
16;910;-0,0;14546;6,952227727690691e-08;2,895643082
