imension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
8;38;-0,0;304;0,753968253968254;0,006042098
8;32;-0,0;255;0,6324404761904762;0,004985202
8;7;-0,0;56;0,1388888888888889;0,001088565
8;49;-0,0;392;0,9722222222222222;0,007672338
8;204;-0,0;1632;4,0476190476190474;0,031374194
23;319;-0,0;7336;2,8376896371746693e-17;0,845804278
23;1298;-0,0;29854;1,1548035227400843e-16;3,400391529
23;1075;-0,0;24725;9,564050746884366e-17;2,830701521
23;1515;-0,0;34845;1,3478638959562618e-16;4,02833509
23;805;-0,0;18515;7,16191707092271e-17;2,11224192
38;4900;-0,0;186199;3,5600563681529543e-38;55,656213745
38;14545;-0,0;552709;1,0567592710946093e-37;165,522882477
38;3749;-0,0;142461;2,723801901532436e-38;42,10007167
38;3557;-0,0;135165;2,584305066092697e-38;39,968510513
38;7455;-0,0;283290;5,416400563558614e-38;83,938544944
53;10875;-0,0;576375;1,3482824248071491e-62;325,580646318
53;4460;-0,0;236379;5,529484299171357e-63;134,831115858
53;14012;-0,0;742635;1,737205323871884e-62;422,13530022
53;26006;-0,0;1378317;3,2242213609419483e-62;778,000639699
53;24848;-0,0;1316944;3,0806548681938427e-62;744,039705748
68;16134;-0,0;1097112;4,4237753097764115e-89;1013,023812313
68;6169;-0,0;419491;1,691471726198799e-89;387,851514111
68;7678;-0,0;522103;2,1052238609733496e-89;483,243475164
68;8071;-0,0;548828;2,2129844133634196e-89;521,957687795
68;17734;-0,0;1205911;4,8624746676618085e-89;1114,493416161
83;21237;-0,0;1762670;4,467518163689666e-117;2414,456493755
83;33415;-0,0;2773445;7,029345205565583e-117;3820,686687068
83;19083;-0,0;1583889;4,0143945700376485e-117;2182,800630782
83;18312;-0,0;1519895;3,852200649810291e-117;2092,665612799
83;11229;-0,0;932006;2,362185623893157e-117;1277,856737908
98;56108;-0,0;5498584;5,832871432860861e-146;10744,552399322
98;65736;-0,0;6442128;6,833778365126926e-146;12312,611685193
98;38124;-0,0;3736152;3,963292052940534e-146;7105,75634304
98;40370;-0,0;3956259;4,196780498779082e-146;7565,435471257
98;81122;-0,0;7949955;8,433273986908152e-146;15332,409154825
