dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
8;19;0;145;0,3596230159;0,004565744
8;109;0;865;2,1453373016;0,026196407
8;42;0;329;0,8159722222;0,010346851
8;56;0;441;1,09375;0,013408098
8;10;0;74;0,183531746;0,002262514
8;58;0;457;1,1334325397;0,013826873
8;75;0;593;1,470734127;0,018091687
8;209;0;1665;4,1294642857;0,05306082
8;155;0;1233;3,0580357143;0,037717644
8;47;0;370;0,9176587302;0,011913272
8;38;0;304;0,753968254;0,006042098
8;32;0;255;0,6324404762;0,004985202
8;7;0;56;0,1388888889;0,001088565
8;49;0;392;0,9722222222;0,007672338
8;204;0;1632;4,0476190476;0,031374194
23;1719;0;39517;1,52858480632813E-016;5,650927237
23;421;0;9664;3,73819965289749E-017;1,582980784
23;849;0;19507;7,54563955184927E-017;2,856949692
23;407;0;9342;3,61364457340319E-017;1,385818092
23;940;0;21601;8,35563438557934E-017;3,230955783
23;408;0;9364;3,62215454777857E-017;1,493036144
23;2735;0;62886;2,43253749350281E-016;9,623114941
23;3499;0;80457;3,11221367418433E-016;11,932180594
23;408;0;9364;3,62215454777857E-017;1,355907985
23;7279;0;167398;6,47523950223235E-016;24,227032865
23;319;0;7336;2,83768963717467E-017;0,845804278
23;1298;0;29854;1,15480352274008E-016;3,400391529
23;1075;0;24725;9,56405074688437E-017;2,830701521
23;1515;0;34845;1,34786389595626E-016;4,02833509
23;805;0;18515;7,16191707092271E-017;2,11224192
38;5852;0;222342;4,25109722935066E-038;80,582742687
38;3328;0;126430;2,41729508013243E-038;43,778010341
38;2214;0;84099;1,60794193580683E-038;29,238662473
38;4809;0;182709;3,49332885229705E-038;63,31882493
38;2276;0;86454;1,65296866928553E-038;30,380696483
38;4879;0;185368;3,54416795391907E-038;66,738366827
38;6562;0;249323;4,76696402170258E-038;89,684765227
38;4676;0;177655;3,39669823191431E-038;60,764977785
38;7140;0;271286;5,18688850042558E-038;101,251835427
38;8323;0;316241;6,04641155925144E-038;114,73306803
38;4900;0;186199;3,56005636815295E-038;55,656213745
38;14545;0;552709;1,05675927109461E-037;165,522882477
38;3749;0;142461;2,72380190153244E-038;42,10007167
38;3557;0;135165;2,5843050660927E-038;39,968510513
38;7455;0;283290;5,41640056355861E-038;83,938544944
53;6429;0;340691;7,96959770271043E-063;230,372806529
53;6187;0;327865;7,669566119443E-063;210,515217686
53;16841;0;892527;2,08783945827951E-062;573,692562232
53;11828;0;626837;1,46632541369567E-062;418,635264465
53;17419;0;923160;2,1594975550379E-062;611,398594082
53;16137;0;855214;2,00055520390201E-062;601,329002736
53;4129;0;218791;5,11805786173899E-063;147,500524306
53;10329;0;547391;1,28048174330533E-062;366,702083232
53;7506;0;397771;9,30483883579205E-063;267,545871196
53;35092;0;1859829;4,35059597284174E-062;1219,32741437
53;10875;0;576375;1,34828242480715E-062;325,580646318
53;4460;0;236379;5,52948429917136E-063;134,831115858
53;14012;0;742635;1,73720532387188E-062;422,13530022
53;26006;0;1378317;3,22422136094195E-062;778,000639699
53;24848;0;1316944;3,08065486819384E-062;744,039705748
68;12685;0;862519;3,47784935030611E-089;921,943735683
68;12791;0;869727;3,50691344989929E-089;951,78097762
68;16955;0;1152880;4,64864305479753E-089;1181,232312275
68;14333;0;974583;3,92971384209436E-089;1075,375857098
68;9482;0;644716;2,59962403347863E-089;643,593169347
68;11493;0;781463;3,15101532469229E-089;778,522108655
68;36043;0;2450863;9,88237046631934E-089;2471,140640037
68;41189;0;2800791;1,12933502446824E-088;2804,165593876
68;8535;0;580319;2,3399624322714E-089;579,404156859
68;24634;0;1675051;6,75414110538968E-089;1671,788426821
68;16134;0;1097112;4,42377530977641E-089;1013,023812313
68;6169;0;419491;1,6914717261988E-089;387,851514111
68;7678;0;522103;2,10522386097335E-089;483,243475164
68;8071;0;548828;2,21298441336342E-089;521,957687795
68;17734;0;1205911;4,86247466766181E-089;1114,493416161
83;22680;0;1882367;4,77089231860191E-117;2790,556938401
83;18163;0;1507455;3,82067125068493E-117;2209,001655982
83;18174;0;1508369;3,82298779978465E-117;2207,83010317
83;17895;0;1485212;3,76429597538385E-117;2230,797949829
83;27706;0;2299525;5,82818661766438E-117;7345,563039171
83;23676;0;1965035;4,98041582076391E-117;2885,683008097
83;29581;0;2455149;6,2226183869156E-117;3624,506516293
83;13330;0;1106317;2,80397992380801E-117;1604,786076118
83;29233;0;2426266;6,14941391465372E-117;3522,931494174
83;29320;0;2433486;6,16771313183098E-117;3524,226371246
83;21237;0;1762670;4,46751816368967E-117;2414,456493755
83;33415;0;2773445;7,02934520556558E-117;3820,686687068
83;19083;0;1583889;4,01439457003765E-117;2182,800630782
83;18312;0;1519895;3,85220064981029E-117;2092,665612799
83;11229;0;932006;2,36218562389316E-117;1277,856737908
98;50994;0;4997324;5,30113723830535E-146;10081,26968452
98;17498;0;1714717;1,8189635376564E-146;3416,2182643
98;18089;0;1772635;1,88040267319537E-146;3588,623538601
98;29588;0;2899536;3,07581382824226E-146;5788,957465006
98;32356;0;3170800;3,36356937337235E-146;6331,449965744
98;51571;0;5053871;5,36112202364535E-146;10084,706329185
98;40145;0;3934122;4,17329767576333E-146;7876,072152031
98;45289;0;4438234;4,70805725818716E-146;8971,443726035
98;28474;0;2790364;2,96000469627878E-146;5587,552982276
98;21072;0;2064969;2,19050917287856E-146;4356,011842498
98;56108;0;5498584;5,83287143286086E-146;10744,552399322
98;65736;0;6442128;6,83377836512693E-146;12312,611685193
98;38124;0;3736152;3,96329205294053E-146;7105,75634304
98;40370;0;3956259;4,19678049877908E-146;7565,435471257
98;81122;0;7949955;8,43327398690815E-146;15332,409154825
