dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
17;1085;-0,0;18444;5,185451759914879e-09;3,173449172
17;242;-0,0;4114;1,1566335144377471e-09;0,725329221
17;433;-0,0;7361;2,0695136849237377e-09;1,275656098
17;575;-0,0;9775;2,7481994661227464e-09;1,688164981
17;329;-0,0;5592;1,5721668966300151e-09;0,970094526
17;345;-0,0;5864;1,6486385339482134e-09;1,012112947
17;5954;-0,0;101218;2,845700803703449e-08;17,430496106
17;1411;-0,0;23986;6,743561370273166e-09;4,161528332
17;618;-0,0;10506;2,953716991415404e-09;1,807574849
17;1241;-0,0;21096;5,931050223767311e-09;3,61785613
17;103;-0,0;1751;4,922861652359007e-10;0,307556525
17;112;-0,0;1904;5,353014612273871e-10;0,332296549
17;387;-0,0;6579;1,8496577276339181e-09;1,129971887
17;548;-0,0;9315;2,6188724324228525e-09;1,604271585
17;637;-0,0;10829;3,0445270607307646e-09;1,856680545
17;1826;-0,0;31042;8,727325608939366e-09;5,278621791
17;1393;-0,0;23681;6,657811924015628e-09;4,033719374
17;425;-0,0;7224;2,0309967205392043e-09;1,236649641
17;1587;-0,0;26978;7,584749380773346e-09;4,614311017
17;2271;-0,0;38606;1,0853911876126318e-08;6,554848465
