dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
12;442;-0,0;5304;0,001107303190636524;0,507705274
12;1052;-0,0;12624;0,002635481802148469;1,208420544
12;972;-0,0;11664;0,002435064935064935;1,111395952
12;170;-0,0;2039;0,0004256770749826305;0,198087389
12;157;-0,0;1884;0,00039331810165143497;0,182797499
12;1063;-0,0;12756;0,002663039121372455;1,219574116
12;358;-0,0;4296;0,0008968654801988135;0,41333584
12;552;-0,0;6623;0,0013826676153065043;0,63376588
12;253;-0,0;3035;0,0006336095745817968;0,292285428
12;1309;-0,0;15707;0,0032791122200844422;1,497100498
12;138;-0,0;1655;0,00034551032814921705;0,16128784
12;195;-0,0;2339;0,0004883073459462349;0,225532658
12;227;-0,0;2723;0,0005684740927796483;0,262577079
12;122;-0,0;1463;0,0003054269547325103;0,144329015
12;140;-0,0;1679;0,0003505207498263054;0,162976661
12;991;-0,0;11891;0,0024824551734273954;1,138502389
12;142;-0,0;1703;0,0003555311715033937;0,16489785
12;377;-0,0;4523;0,0009442557185612741;0,433262398
12;317;-0,0;3803;0,0007939430682486238;0,364974132
12;71;-0,0;851;0,00017766120196675752;0,082694367
13;1331;-0,0;17302;0,00027785357646468756;1,883301713
13;888;-0,0;11544;0,00018538560205226873;1,251149918
13;343;-0,0;4459;7,160727646838758e-05;0,487494867
13;63;-0,0;819;1,3152356902356902e-05;0,090818694
13;625;-0,0;8124;0,00013046367213033879;0,884579162
13;168;-0,0;2183;3,5056892695781585e-05;0,238650402
13;271;-0,0;3523;5,6576011437122545e-05;0,384852378
13;167;-0,0;2170;3,48481251259029e-05;0,239391463
13;1194;-0,0;15521;0,0002492524193913083;1,68874379
13;438;-0,0;5694;9,144019560686227e-05;0,620301359
13;1083;-0,0;14078;0,00022607921913477469;1,538591989
13;188;-0,0;2443;3,92322440933552e-05;0,270397925
13;551;-0,0;7162;0,0001150148719593164;0,777905547
13;719;-0,0;9347;0,00015010388274277163;1,017432094
13;145;-0,0;1884;3,025523858857192e-05;0,208721288
13;58;-0,0;754;1,2108519052963498e-05;0,085137352
13;97;-0,0;1260;2,0234395234395233e-05;0,139355073
13;218;-0,0;2834;4,551133023355246e-05;0,30996831
13;1133;-0,0;14728;0,00023651759762870873;1,601652261
13;42;-0,0;546;8,768237934904602e-06;0,06159818
14;77;-0,0;1077;1,2353993008754914e-06;0,134767352
14;650;-0,0;9099;1,0437231419374276e-05;1,11702543
14;590;-0,0;8260;9,474835863724753e-06;1,013221988
14;245;-0,0;3430;3,934465740021295e-06;0,42560582
14;226;-0,0;3164;3,629343907121685e-06;0,394026129
14;662;-0,0;9267;1,0629939945416135e-05;1,136553817
14;816;-0,0;11423;1,3103032696286665e-05;1,421834518
14;160;-0,0;2239;2,5682999393316853e-06;0,27994556
14;308;-0,0;4311;4,945038427181284e-06;0,532969231
14;1451;-0,0;20314;2,3301672607228163e-05;2,512895348
14;74;-0,0;1036;1,1883692439247995e-06;0,132176659
14;159;-0,0;2225;2,552240895494864e-06;0,276734766
14;306;-0,0;4283;4,9129203395076414e-06;0,527311193
14;278;-0,0;3891;4,4632671120766355e-06;0,477155185
