dimension del tablero,generaciones,mejor aptitud,evaluaciones,espacio explorado (%),tiempo de ejecución (seg)
8,136,-0.0,1087,2.6959325396825395,0.059665208
8,48,-0.0,383,0.9499007936507936,0.022314608
8,29,-0.0,231,0.5729166666666666,0.012321784
8,9,-0.0,71,0.17609126984126985,0.003823633
8,19,-0.0,152,0.376984126984127,0.008178674
8;20;-0,0;160;0,3968253968253968;0,008630907
8;100;-0,0;799;1,9816468253968254;0,044329622
8;46;-0,0;368;0,9126984126984127;0,021447427
8;3;-0,0;24;0,05952380952380952;0,001426309
8;20;-0,0;160;0,3968253968253968;0,008731443
23,657,-0.0,15110,5.844805127822963e-17,4.436546294
23,941,-0.0,21643,8.37188070029599e-17,6.340019546
23,5002,-0.0,115046,4.450175054503777e-16,33.559991662
23,2357,-0.0,54211,2.0969737312006e-16,15.842756961
23,1108,-0.0,25484,9.857644862835235e-17,7.479602236
23;1000;-1,0;23000;8,896791392450573e-17;6,788984334
23;1000;-1,0;23000;8,896791392450573e-17;6,824437865
23;822;-0,0;18905;7,312775707577308e-17;5,551234544
23;1000;-1,0;23000;8,896791392450573e-17;6,77856971
23;808;-0,0;18584;7,188607445100062e-17;5,480442777
38,3397,-0.0,129085,2.468057703226248e-38,97.721751235
38,2832,-0.0,107615,2.0575592031040994e-38,81.42707091
38,4603,-0.0,174914,3.3442913204641586e-38,132.14457768
38,7906,-0.0,300427,5.744053698006368e-38,227.0852519
38,5612,-0.0,213256,4.0773762525407037e-38,161.161529733
38;1000;-4,0;38000;7,265460179153071e-39;28,913391082
38;1000;-3,0;38000;7,265460179153071e-39;28,867982167
38;1000;-2,0;38000;7,265460179153071e-39;28,909052793
38;1000;-3,0;38000;7,265460179153071e-39;29,580178621
38;1000;-2,0;38000;7,265460179153071e-39;29,371400897
53,13470,-0.0,713909,1.6700081676194266e-62,1027.697947926
53,8256,-0.0,437568,1.023578822915662e-62,632.51831954
53,12014,-0.0,636742,1.4894956369317783e-62,919.080714914
53,14426,-0.0,764577,1.78853304100937e-62,1096.953302045
53,13448,-0.0,712743,1.667280607771541e-62,1032.702113594
68,13055,-0.0,887739,3.5795414412800166e-89,2124.733709942
68,9800,-0.0,666400,2.6870582642747508e-89,1570.538564019
68,15741,-0.0,1070388,4.3160187895866176e-89,2516.52826349
68,38776,-0.0,2636767,1.0631972626526023e-88,6161.467409926
68,24097,-0.0,1638596,6.607147244309048e-89,3843.297115743
83,33862,-0.0,2810546,7.123378343584072e-117,9721.50908107
83,15789,-0.0,1310486,3.321449850658952e-117,4538.262901331
83,26108,-0.0,2166964,5.4922084281581995e-117,7484.406797939
83,21034,-0.0,1745821,4.4248140764016275e-117,6060.93998661
83,13512,-0.0,1121496,2.8424513666796996e-117,3842.246391534
